,Counts,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
0,1.0,8,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,2,1.0,0,0,0.0,1.0,0,0,0,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
1,1.0,8,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,2,1.0,0,0,0.0,1.0,0,0,0,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2,1.0,8,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,2,1.0,0,0,0.0,1.0,0,0,0,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
3,1.0,8,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,2,1.0,0,0,0.0,1.0,0,0,0,0,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
4,61910.0,11,0,3,3,3,3,0,3,0,0,0,0,0.0,0.0,1,3.0,0,3,1.0,1.0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
5,2.0,5,0,1,1,1,1,0,1,0,0,0,0,0.0,0.0,1,1.0,0,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
6,1233750.0,10,0,3,2,3,2,0,3,0,0,0,0,0.0,0.0,0,0.0,0,2,1.0,0.666667,1,0,1,-1,10000000000,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
7,1233750.0,10,0,3,2,3,2,0,3,0,0,0,0,0.0,0.0,0,0.0,0,2,1.0,0.666667,1,0,1,-1,10000000000,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
8,3529680.0,14,0,4,3,4,3,0,4,0,0,0,0,0.0,0.0,0,0.0,0,3,1.0,0.75,1,0,1,-1,10000000000,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
9,0.0,238,12,62,36,36,32,4,58,26,4,15,4,0.722222,0.125,14,2.57143,0,33,0.6,0.533333,24,2,8,8,8,0,102,0,16,13,24,0,2,0,0,0,0,2,4,0,0,1.66667,0,17
10,0.0,283,14,78,39,42,32,4,74,36,7,16,7,0.857143,0.21875,15,2.6,0,33,0.7,0.533333,33,2,13,8,8,0,130,0,18,15,27,0,2,0,0,0,0,2,10,0,0,1.62963,0,18
11,0.0,275,15,72,39,40,30,4,68,32,9,16,8,0.8,0.3,15,2.6,0,33,0.666667,0.5,29,0,13,8,8,0,128,0,20,17,29,0,2,0,0,0,0,2,16,0,0,1.62069,0,19
12,0.0,273,15,72,38,40,30,4,68,32,8,16,8,0.8,0.266667,15,2.6,0,33,0.666667,0.5,29,0,13,8,8,0,128,0,20,17,28,0,2,0,0,0,0,2,22,0,0,1.6428599999999998,0,19
13,0.0,264,14,68,39,39,30,4,64,29,9,16,8,0.74359,0.3,15,2.6,0,33,0.65,0.5,27,0,12,8,8,0,122,0,20,16,27,0,2,0,0,0,0,2,27,0,0,1.66667,0,19
14,0.0,262,14,68,38,39,30,4,64,29,8,16,8,0.74359,0.266667,15,2.6,0,33,0.65,0.5,27,0,12,8,8,0,122,0,20,16,26,0,2,0,0,0,0,2,32,0,0,1.6923099999999998,0,19
15,0.0,272,13,74,39,41,32,4,70,33,7,16,7,0.804878,0.21875,15,2.6,0,33,0.683333,0.533333,31,2,12,8,8,0,124,0,18,14,25,0,2,0,0,0,0,2,37,0,0,1.68,0,18
16,0.0,264,14,68,39,39,30,4,64,29,9,16,8,0.74359,0.3,15,2.6,0,33,0.65,0.5,27,0,12,8,8,0,122,0,20,16,27,0,2,0,0,0,0,2,42,0,0,1.66667,0,19
17,0.0,262,14,68,38,39,30,4,64,29,8,16,8,0.74359,0.266667,15,2.6,0,33,0.65,0.5,27,0,12,8,8,0,122,0,20,16,26,0,2,0,0,0,0,2,47,0,0,1.6923099999999998,0,19
18,0.0,253,13,64,39,38,30,4,60,26,9,15,8,0.684211,0.3,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,116,0,20,15,25,0,2,0,0,0,0,2,51,0,0,1.72,0,19
19,0.0,251,13,64,38,38,30,4,60,26,8,15,8,0.684211,0.266667,15,2.6,0,33,0.633333,0.5,25,0,11,8,8,0,116,0,20,15,24,0,2,0,0,0,0,2,55,0,0,1.75,0,19
20,0.0,176,10,39,30,26,28,4,35,13,2,7,2,0.5,0.07142860000000001,14,2.42857,0,33,0.43333299999999997,0.466667,11,0,3,8,8,0,64,0,13,11,21,0,2,0,0,0,0,2,57,0,0,1.7619,0,17
21,2.0,244,14,64,36,37,32,4,60,27,4,16,4,0.72973,0.125,14,2.57143,0,33,0.616667,0.533333,24,2,8,8,8,0,106,0,16,15,26,0,2,0,0,0,0,2,63,0,0,1.65385,0,18
22,0.0,289,16,80,39,43,32,4,76,37,7,17,7,0.8604649999999999,0.21875,15,2.6,0,33,0.716667,0.533333,33,2,13,8,8,0,134,0,18,17,29,0,2,0,0,0,0,2,71,0,0,1.62069,0,19
23,0.0,281,17,74,39,41,30,4,70,33,9,17,8,0.804878,0.3,15,2.6,0,33,0.683333,0.5,29,0,13,8,8,0,132,0,20,19,31,0,2,0,0,0,0,2,79,0,0,1.6129,0,20
24,0.0,279,17,74,38,41,30,4,70,33,8,17,8,0.804878,0.266667,15,2.6,0,33,0.683333,0.5,29,0,13,8,8,0,132,0,20,19,30,0,2,0,0,0,0,2,87,0,0,1.63333,0,20
25,0.0,270,16,70,39,40,30,4,66,30,9,17,8,0.75,0.3,15,2.6,0,33,0.666667,0.5,27,0,12,8,8,0,126,0,20,18,29,0,2,0,0,0,0,2,94,0,0,1.65517,0,20
26,0.0,268,16,70,38,40,30,4,66,30,8,17,8,0.75,0.266667,15,2.6,0,33,0.666667,0.5,27,0,12,8,8,0,126,0,20,18,28,0,2,0,0,0,0,2,101,0,0,1.6785700000000001,0,20
27,0.0,278,15,76,39,42,32,4,72,34,7,17,7,0.809524,0.21875,15,2.6,0,33,0.7,0.533333,31,2,12,8,8,0,128,0,18,16,27,0,2,0,0,0,0,2,108,0,0,1.66667,0,19
